project,file,time1,time2,time3,time4,time5,mem1,mem2,mem3,mem4,mem5,time-ave,mem-ave
numpy,numpy/numpy/random/src/distributions/random_mvhg_count.c,0.707,0.722,0.727,0.642,0.686,279384,279384,279384,279388,279388,0.697,368061.6
numpy,numpy/numpy/core/src/umath/override.c,3.591,3.606,3.643,3.635,3.593,255812,255812,255812,255812,255812,3.614,535197.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/_umath_tests.c,5.378,4.393,5.556,3.803,3.769,255944,255944,255944,255944,255944,4.580,511756
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/npysort/heapsort.c,64.945,62.006,68.657,65.689,61.509,148476,148480,148220,148368,148472,64.561,404347.2
numpy,numpy/numpy/core/src/multiarray/flagsobject.c,2.690,3.564,3.454,3.560,3.572,245636,245372,245376,245412,245412,3.368,393844.8
numpy,numpy/numpy/random/src/distributions/random_hypergeometric.c,2.739,2.345,2.349,2.585,2.608,150140,150140,150140,150140,150140,2.525,395581.6
numpy,numpy/numpy/distutils/checks/extra_avx512dq_mask.c,0.449,0.414,0.268,0.398,0.268,97012,97012,97012,97012,97012,0.359,247152
numpy,numpy/numpy/distutils/checks/cpu_avx.c,0.363,0.428,0.453,0.258,0.423,96012,96012,96012,96012,96012,0.385,193024
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/common/npy_cpu_features.c,9.961,9.722,9.850,12.959,12.738,251052,251296,250784,251040,250796,11.046,347005.6
numpy,numpy/numpy/random/_pcg64.c,33.657,33.426,36.445,29.709,27.651,248232,247976,248232,248240,248236,32.178,499176.8
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_arithmetic.dispatch.avx2.c,0.802,0.794,0.452,0.671,0.683,109824,109824,109824,109824,109824,0.680,358007.2
numpy,numpy/numpy/core/src/multiarray/legacy_dtype_implementation.c,8.049,8.104,8.206,5.163,5.451,365368,365588,365292,365376,365364,6.995,475221.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/multiarray/lowlevel_strided_loops.c,27.486,33.102,33.594,28.578,29.111,556612,556620,556616,556612,556616,30.374,922012.8
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_trigonometric.dispatch.avx512f.c,0.527,0.773,0.467,0.777,0.683,108556,108556,108556,108556,108556,0.645,665171.2
numpy,numpy/numpy/random/src/distributions/distributions.c,10.790,7.178,11.148,11.307,10.355,142084,142340,141976,142088,142092,10.156,250672
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/npysort/binsearch.c,13.554,13.285,12.362,15.637,9.467,146908,147148,146388,146764,146388,12.861,288835.2
numpy,numpy/numpy/distutils/checks/cpu_avx512f.c,0.417,0.414,0.467,0.442,0.442,97004,97004,97004,97004,97004,0.436,243723.2
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/npymath/npy_math_complex.c,0.417,0.615,0.709,0.713,0.690,98232,98236,98232,98232,98232,0.629,195236.8
numpy,numpy/numpy/random/_generator.c,90.275,93.026,96.712,95.934,98.812,369588,371784,368848,372536,368468,94.952,468477.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/npysort/selection.c,71.156,67.905,68.064,60.143,61.808,177128,177616,177128,177620,177636,65.815,547670.4
numpy,numpy/numpy/random/src/legacy/legacy-distributions.c,2.447,3.832,2.713,3.742,3.217,163824,164076,163824,164080,164080,3.190,341402.4
numpy,numpy/numpy/core/src/multiarray/scalarapi.c,9.037,11.116,10.790,9.614,11.377,433772,433768,433768,434264,433760,10.387,597843.2
numpy,numpy/numpy/core/src/multiarray/item_selection.c,39.503,34.119,45.628,38.800,32.312,680872,681388,681256,681252,680876,38.072,1114995.2
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/_struct_ufunc_tests.c,0.303,0.337,0.195,0.209,0.284,234364,234364,234364,234364,234364,0.266,915492.8
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_arithm_fp.dispatch.c,19.679,20.806,20.734,15.275,19.029,147364,147372,147372,147392,147100,19.105,381684
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/multiarray/einsum_sumprod.c,9.246,7.271,10.681,8.367,10.355,186696,186696,186696,186696,186696,9.184,334016
numpy,numpy/numpy/core/src/common/ufunc_override.c,0.285,0.279,0.164,0.288,0.281,232800,232800,232800,232800,232800,0.259,419496
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/matmul.c,5.727,5.151,6.669,4.403,6.320,250700,250700,250940,250940,250704,5.654,483596.8
numpy,numpy/numpy/core/src/multiarray/calculation.c,36.825,47.671,40.414,47.596,42.622,677172,675400,675276,677176,675376,43.026,926876.8
numpy,numpy/numpy/distutils/checks/cpu_avx2.c,0.482,0.451,0.460,0.450,0.431,96988,96988,97004,97004,97004,0.455,773077.6
numpy,numpy/numpy/core/src/common/ucsnarrow.c,0.690,0.408,0.667,0.623,0.505,234256,234256,234256,234256,234256,0.579,331253.6
numpy,numpy/numpy/core/src/multiarray/compiled_base.c,29.993,27.680,26.741,31.014,28.358,651676,651544,651676,651552,651528,28.757,885851.2
numpy,numpy/numpy/core/src/multiarray/convert_datatype.c,48.643,39.802,45.558,36.850,43.767,674004,675800,674532,674508,674008,42.924,1326165.6
numpy,numpy/numpy/distutils/checks/cpu_avx512_skx.c,0.418,0.374,0.401,0.394,0.391,97008,97008,97008,97008,97008,0.396,771578.4
numpy,numpy/numpy/core/src/multiarray/datetime_busdaycal.c,20.201,12.599,19.517,20.113,19.655,654700,654728,654196,654728,654712,18.417,751620.8
numpy,numpy/numpy/fft/_pocketfft.c,16.049,14.927,11.550,16.675,16.624,294228,293332,293996,294388,293548,15.165,948511.2
numpy,numpy/numpy/random/src/philox/philox.c,0.190,0.216,0.195,0.210,0.212,91496,91496,91496,91496,91496,0.205,385394.4
numpy,numpy/numpy/core/src/multiarray/dtype_transfer.c,42.958,38.652,49.466,40.887,42.778,544480,544476,544576,544996,544220,42.948,636045.6
numpy,numpy/numpy/core/src/npymath/halffloat.c,0.523,0.525,0.466,0.530,0.517,112552,112552,112552,112552,112552,0.512,657101.6
numpy,numpy/numpy/core/src/multiarray/multiarraymodule.c,52.276,51.214,53.911,48.152,51.820,700748,701276,700768,700756,700724,51.475,813406.4
numpy,numpy/numpy/random/src/distributions/logfactorial.c,0.044,0.026,0.041,0.039,0.040,83904,83904,83904,83904,83904,0.038,784758.4
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/npymath/ieee754.c,0.264,0.262,0.276,0.158,0.232,93644,93644,93644,93644,93644,0.238,177548
numpy,numpy/numpy/core/src/multiarray/mapping.c,31.352,47.376,46.605,38.709,42.830,858240,858232,858468,858276,858264,41.374,951940
numpy,numpy/numpy/core/src/multiarray/methods.c,64.994,52.720,56.785,52.270,64.637,627560,627048,627288,627056,628332,58.281,1485752.8
numpy,numpy/numpy/core/src/common/mem_overlap.c,14.730,13.915,16.249,13.391,16.174,186872,186312,187400,186888,186360,14.892,814223.2
numpy,numpy/numpy/core/src/multiarray/ctors.c,42.234,40.183,36.443,42.332,37.136,658404,658412,658412,658420,658436,39.666,845183.2
numpy,numpy/numpy/core/src/multiarray/datetime.c,35.570,30.732,24.672,31.698,38.598,615836,616332,616352,616336,616336,32.254,1274655.2
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_trigonometric.dispatch.c,0.335,0.328,0.357,0.354,0.384,96136,96136,96136,96136,96136,0.352,712374.4
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/multiarray/einsum.c,12.223,12.714,12.441,10.282,10.956,526892,526892,527696,526896,527692,11.723,623349.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/multiarray/_multiarray_tests.c,24.260,25.513,17.266,22.528,18.143,290664,290664,290664,291176,290152,21.542,817877.6
numpy,numpy/numpy/core/src/common/npy_argparse.c,5.032,5.293,3.500,4.788,5.422,232928,232928,232928,232928,232928,4.807,523592
numpy,numpy/numpy/core/src/multiarray/nditer_pywrap.c,37.473,39.614,32.178,34.739,27.754,598392,598804,597896,598296,598060,34.352,831217.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_arithm_fp.dispatch.avx2.c,0.813,0.780,0.547,0.853,0.778,110240,110240,110240,110240,110240,0.754,708529.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/multiarray/scalartypes.c,30.764,35.655,35.017,29.618,34.534,684348,684336,683320,683320,683836,33.118,794072
numpy,numpy/numpy/random/src/pcg64/pcg64.c,0.040,0.024,0.041,0.041,0.041,82852,82852,82852,82852,82852,0.037,766684
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_exponent_log.dispatch.c,0.300,0.420,0.422,0.370,0.364,97732,97732,97732,97732,97732,0.375,180584
numpy,numpy/numpy/core/src/multiarray/array_method.c,9.126,12.114,11.812,12.004,12.250,334404,334932,334932,334900,334892,11.461,432544
numpy,numpy/numpy/core/src/multiarray/temp_elide.c,10.373,7.695,10.851,7.424,11.007,462196,462144,462040,462144,462192,9.470,796955.2
numpy,numpy/numpy/random/bit_generator.c,52.769,47.864,50.135,44.213,52.947,275780,275780,275776,275780,275776,49.586,737921.6
numpy,numpy/numpy/core/src/multiarray/hashdescr.c,3.826,2.914,4.082,4.858,3.109,244360,244360,244356,244360,244360,3.758,520137.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_exponent_log.dispatch.fma3.avx2.c,0.787,0.807,0.664,0.767,0.818,109816,109816,109816,109816,109816,0.769,354175.2
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_exponent_log.dispatch.avx512f.c,0.801,0.775,0.815,0.544,0.835,110280,110280,110280,110280,110280,0.754,220096
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/scalarmath.c,128.131,117.316,123.947,123.094,129.212,882552,882024,883056,882800,882804,124.340,992927.2
numpy,numpy/numpy/distutils/checks/cpu_sse.c,0.069,0.064,0.070,0.066,0.066,83760,83760,83760,83760,83760,0.067,966407.2
numpy,numpy/numpy/core/src/multiarray/nditer_api.c,32.948,26.469,23.231,24.219,22.825,397288,397784,397288,397720,397176,25.938,481211.2
numpy,numpy/numpy/core/src/multiarray/number.c,30.365,30.274,21.710,28.307,25.662,595096,595120,595600,595524,594828,27.264,992684.8
numpy,numpy/numpy/core/src/multiarray/typeinfo.c,0.265,0.245,0.276,0.270,0.159,232768,232768,232768,232768,232768,0.243,828001.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_arithmetic.dispatch.avx512_skx.c,0.652,0.676,0.783,0.751,0.749,109996,109996,109996,109996,109996,0.722,342764
numpy,numpy/numpy/core/src/multiarray/common_dtype.c,3.002,3.167,2.515,3.041,2.417,247032,247032,247032,247032,247032,2.828,357028
